Order	PID	MS SubClass	MS Zoning	Lot Frontage	Lot Area	Street	Alley	Lot Shape	Land Contour	Utilities	Lot Config	Land Slope	Neighborhood	Condition 1	Condition 2	Bldg Type	House Style	Overall Qual	Overall Cond	Year Built	Year Remod/Add	Roof Style	Roof Matl	Exterior 1st	Exterior 2nd	Mas Vnr Type	Mas Vnr Area	Exter Qual	Exter Cond	Foundation	Bsmt Qual	Bsmt Cond	Bsmt Exposure	BsmtFin Type 1	BsmtFin SF 1	BsmtFin Type 2	BsmtFin SF 2	Bsmt Unf SF	Total Bsmt SF	Heating	Heating QC	Central Air	Electrical	1st Flr SF	2nd Flr SF	Low Qual Fin SF	Gr Liv Area	Bsmt Full Bath	Bsmt Half Bath	Full Bath	Half Bath	Bedroom AbvGr	Kitchen AbvGr	Kitchen Qual	TotRms AbvGrd	Functional	Fireplaces	Fireplace Qu	Garage Type	Garage Yr Blt	Garage Finish	Garage Cars	Garage Area	Garage Qual	Garage Cond	Paved Drive	Wood Deck SF	Open Porch SF	Enclosed Porch	3Ssn Porch	Screen Porch	Pool Area	Pool QC	Fence	Misc Feature	Misc Val	Mo Sold	Yr Sold	Sale Type	Sale Condition	SalePrice
1	0526301100	020	RL	141	31770	Pave	NA	IR1	Lvl	AllPub	Corner	Gtl	NAmes	Norm	Norm	1Fam	1Story	6	5	1960	1960	Hip	CompShg	BrkFace	Plywood	Stone	112	TA	TA	CBlock	TA	Gd	Gd	BLQ	639	Unf	0	441	1080	GasA	Fa	Y	SBrkr	1656	0	0	1656	1	0	1	0	3	1	TA	7	Typ	2	Gd	Attchd	1960	Fin	2	528	TA	TA	P	210	62	0	0	0	0	NA	NA	NA	0	5	2010	WD 	Normal	215000
2	0526350040	020	RH	80	11622	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NAmes	Feedr	Norm	1Fam	1Story	5	6	1961	1961	Gable	CompShg	VinylSd	VinylSd	None	0	TA	TA	CBlock	TA	TA	No	Rec	468	LwQ	144	270	882	GasA	TA	Y	SBrkr	896	0	0	896	0	0	1	0	2	1	TA	5	Typ	0	NA	Attchd	1961	Unf	1	730	TA	TA	Y	140	0	0	0	120	0	NA	MnPrv	NA	0	6	2010	WD 	Normal	105000
3	0526351010	020	RL	81	14267	Pave	NA	IR1	Lvl	AllPub	Corner	Gtl	NAmes	Norm	Norm	1Fam	1Story	6	6	1958	1958	Hip	CompShg	Wd Sdng	Wd Sdng	BrkFace	108	TA	TA	CBlock	TA	TA	No	ALQ	923	Unf	0	406	1329	GasA	TA	Y	SBrkr	1329	0	0	1329	0	0	1	1	3	1	Gd	6	Typ	0	NA	Attchd	1958	Unf	1	312	TA	TA	Y	393	36	0	0	0	0	NA	NA	Gar2	12500	6	2010	WD 	Normal	172000
4	0526353030	020	RL	93	11160	Pave	NA	Reg	Lvl	AllPub	Corner	Gtl	NAmes	Norm	Norm	1Fam	1Story	7	5	1968	1968	Hip	CompShg	BrkFace	BrkFace	None	0	Gd	TA	CBlock	TA	TA	No	ALQ	1065	Unf	0	1045	2110	GasA	Ex	Y	SBrkr	2110	0	0	2110	1	0	2	1	3	1	Ex	8	Typ	2	TA	Attchd	1968	Fin	2	522	TA	TA	Y	0	0	0	0	0	0	NA	NA	NA	0	4	2010	WD 	Normal	244000
5	0527105010	060	RL	74	13830	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	Gilbert	Norm	Norm	1Fam	2Story	5	5	1997	1998	Gable	CompShg	VinylSd	VinylSd	None	0	TA	TA	PConc	Gd	TA	No	GLQ	791	Unf	0	137	928	GasA	Gd	Y	SBrkr	928	701	0	1629	0	0	2	1	3	1	TA	6	Typ	1	TA	Attchd	1997	Fin	2	482	TA	TA	Y	212	34	0	0	0	0	NA	MnPrv	NA	0	3	2010	WD 	Normal	189900
6	0527105030	060	RL	78	9978	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	Gilbert	Norm	Norm	1Fam	2Story	6	6	1998	1998	Gable	CompShg	VinylSd	VinylSd	BrkFace	20	TA	TA	PConc	TA	TA	No	GLQ	602	Unf	0	324	926	GasA	Ex	Y	SBrkr	926	678	0	1604	0	0	2	1	3	1	Gd	7	Typ	1	Gd	Attchd	1998	Fin	2	470	TA	TA	Y	360	36	0	0	0	0	NA	NA	NA	0	6	2010	WD 	Normal	195500
7	0527127150	120	RL	41	4920	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	StoneBr	Norm	Norm	TwnhsE	1Story	8	5	2001	2001	Gable	CompShg	CemntBd	CmentBd	None	0	Gd	TA	PConc	Gd	TA	Mn	GLQ	616	Unf	0	722	1338	GasA	Ex	Y	SBrkr	1338	0	0	1338	1	0	2	0	2	1	Gd	6	Typ	0	NA	Attchd	2001	Fin	2	582	TA	TA	Y	0	0	170	0	0	0	NA	NA	NA	0	4	2010	WD 	Normal	213500
8	0527145080	120	RL	43	5005	Pave	NA	IR1	HLS	AllPub	Inside	Gtl	StoneBr	Norm	Norm	TwnhsE	1Story	8	5	1992	1992	Gable	CompShg	HdBoard	HdBoard	None	0	Gd	TA	PConc	Gd	TA	No	ALQ	263	Unf	0	1017	1280	GasA	Ex	Y	SBrkr	1280	0	0	1280	0	0	2	0	2	1	Gd	5	Typ	0	NA	Attchd	1992	RFn	2	506	TA	TA	Y	0	82	0	0	144	0	NA	NA	NA	0	1	2010	WD 	Normal	191500
9	0527146030	120	RL	39	5389	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	StoneBr	Norm	Norm	TwnhsE	1Story	8	5	1995	1996	Gable	CompShg	CemntBd	CmentBd	None	0	Gd	TA	PConc	Gd	TA	No	GLQ	1180	Unf	0	415	1595	GasA	Ex	Y	SBrkr	1616	0	0	1616	1	0	2	0	2	1	Gd	5	Typ	1	TA	Attchd	1995	RFn	2	608	TA	TA	Y	237	152	0	0	0	0	NA	NA	NA	0	3	2010	WD 	Normal	236500
10	0527162130	060	RL	60	7500	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Gilbert	Norm	Norm	1Fam	2Story	7	5	1999	1999	Gable	CompShg	VinylSd	VinylSd	None	0	TA	TA	PConc	TA	TA	No	Unf	0	Unf	0	994	994	GasA	Gd	Y	SBrkr	1028	776	0	1804	0	0	2	1	3	1	Gd	7	Typ	1	TA	Attchd	1999	Fin	2	442	TA	TA	Y	140	60	0	0	0	0	NA	NA	NA	0	6	2010	WD 	Normal	189000
